Date,Campaign Name,Spend,7 Day Total Sales,Clicks,Impressions
"Sep 10, 2025",Coffee - Exact,$43.73,$139.95,74,"3,198"
"Sep 10, 2025",Coffee - Broad,$37.93,$91.13,51,"2,808"
"Sep 10, 2025",Catalog - Auto,$139.58,$177.69,175,"10,237"
"Sep 11, 2025",Skillets - Exact,$98.59,$329.23,95,"4,147"
"Sep 11, 2025",Skillets - Broad,$65.55,$145.34,70,"2,066"
"Sep 11, 2025",Knives - Exact,$87.16,$313.26,109,"4,497"
"Sep 11, 2025",Knives - Broad,$51.91,$113.04,91,"4,337"
"Sep 11, 2025",Boards - Exact,$34.57,$167.20,56,"1,593"
"Sep 11, 2025",Coffee - Exact,$65.92,$245.51,85,"4,584"
"Sep 11, 2025",Coffee - Broad,$37.44,$81.03,42,"1,205"
"Sep 11, 2025",Catalog - Auto,$137.99,$186.71,176,"5,493"
"Sep 12, 2025",Skillets - Exact,$110.18,$452.39,195,"9,213"
"Sep 12, 2025",Skillets - Broad,$69.18,$172.53,70,"3,376"
"Sep 12, 2025",Knives - Exact,$75.08,$473.96,130,"5,491"
"Sep 12, 2025",Knives - Broad,$57.94,$136.83,78,"4,649"
"Sep 12, 2025",Boards - Exact,$42.80,$126.19,42,"1,611"
"Sep 12, 2025",Coffee - Exact,$39.12,$235.86,48,"1,545"
"Sep 12, 2025",Coffee - Broad,$37.91,$85.78,63,"2,618"
"Sep 12, 2025",Catalog - Auto,$143.52,$227.22,132,"4,789"
"Sep 13, 2025",Skillets - Exact,$100.10,$281.94,125,"4,618"
"Sep 13, 2025",Skillets - Broad,$42.08,$121.66,49,"2,903"
"Sep 13, 2025",Knives - Exact,$74.60,$335.34,131,"5,311"
"Sep 13, 2025",Knives - Broad,$60.39,$119.97,92,"4,563"
"Sep 13, 2025",Boards - Exact,$45.31,$204.48,61,"3,107"
"Sep 13, 2025",Coffee - Exact,$42.25,$123.55,41,"1,898"
"Sep 13, 2025",Coffee - Broad,$39.77,$90.93,53,"1,550"
"Sep 13, 2025",Catalog - Auto,$104.29,$239.78,153,"7,942"
"Sep 14, 2025",Skillets - Exact,$100.79,$431.67,94,"4,456"
"Sep 14, 2025",Skillets - Broad,$59.38,$113.21,54,"2,102"
"Sep 14, 2025",Knives - Exact,$84.34,$340.23,100,"3,369"
"Sep 14, 2025",Knives - Broad,$61.96,$133.99,58,"2,115"
"Sep 14, 2025",Boards - Exact,$39.79,$113.01,58,"2,132"
"Sep 14, 2025",Coffee - Exact,$48.23,$136.88,63,"2,540"
"Sep 14, 2025",Coffee - Broad,$24.29,$53.55,40,"1,152"
"Sep 14, 2025",Catalog - Auto,$104.03,$192.10,95,"5,483"
"Sep 15, 2025",Skillets - Exact,$96.43,$333.27,133,"7,018"
"Sep 15, 2025",Skillets - Broad,$67.37,$178.82,64,"2,682"
"Sep 15, 2025",Knives - Exact,$80.26,$360.69,111,"6,409"
"Sep 15, 2025",Knives - Broad,$36.96,$137.58,37,"1,146"
"Sep 15, 2025",Boards - Exact,$36.57,$173.20,37,"1,982"
"Sep 15, 2025",Coffee - Exact,$60.37,$165.82,99,"3,646"
"Sep 15, 2025",Coffee - Broad,$37.75,$96.02,47,"1,715"
"Sep 15, 2025",Catalog - Auto,$137.40,$208.24,132,"4,838"
"Sep 16, 2025",Skillets - Exact,$100.00,$447.83,136,"5,995"
"Sep 16, 2025",Skillets - Broad,$55.14,$139.58,66,"2,169"
"Sep 16, 2025",Knives - Exact,$115.11,$338.24,148,"8,046"
"Sep 16, 2025",Knives - Broad,$51.09,$200.26,52,"3,066"
"Sep 16, 2025",Boards - Exact,$35.32,$132.39,42,"1,404"
"Sep 16, 2025",Coffee - Exact,$48.73,$241.16,70,"4,042"
"Sep 16, 2025",Coffee - Broad,$56.14,$120.08,59,"1,763"
"Sep 16, 2025",Catalog - Auto,$104.13,$228.11,177,"7,857"
"Sep 17, 2025",Skillets - Exact,$93.10,$424.55,151,"8,756"
"Sep 17, 2025",Skillets - Broad,$65.01,$173.82,89,"4,166"
"Sep 17, 2025",Knives - Exact,$85.57,$268.12,134,"4,199"
"Sep 17, 2025",Knives - Broad,$62.10,$155.35,58,"1,787"
"Sep 17, 2025",Boards - Exact,$66.23,$145.01,61,"2,322"
"Sep 17, 2025",Coffee - Exact,$38.64,$124.91,49,"1,670"
"Sep 17, 2025",Coffee - Broad,$35.88,$84.37,38,"1,146"
"Sep 17, 2025",Catalog - Auto,$134.63,$200.51,182,"8,913"
"Sep 18, 2025",Skillets - Exact,$65.80,$233.80,68,"3,811"
"Sep 18, 2025",Skillets - Broad,$59.68,$130.29,79,"3,570"
"Sep 18, 2025",Knives - Exact,$84.34,$255.01,112,"4,048"
"Sep 18, 2025",Knives - Broad,$49.52,$78.07,71,"3,412"
"Sep 18, 2025",Boards - Exact,$37.52,$124.17,44,"2,319"
"Sep 18, 2025",Coffee - Exact,$44.73,$198.03,41,"1,833"
"Sep 18, 2025",Coffee - Broad,$30.40,$82.88,52,"2,170"
"Sep 18, 2025",Catalog - Auto,$136.06,$271.81,169,"5,234"
"Sep 19, 2025",Skillets - Exact,$76.80,$321.79,79,"3,495"
"Sep 19, 2025",Skillets - Broad,$52.95,$96.72,59,"2,808"
"Sep 19, 2025",Knives - Exact,$73.33,$240.98,71,"2,071"
"Sep 19, 2025",Knives - Broad,$48.12,$131.07,47,"2,291"
"Sep 19, 2025",Boards - Exact,$41.53,$124.76,56,"2,829"
"Sep 19, 2025",Coffee - Exact,$36.36,$121.17,35,"1,836"
"Sep 19, 2025",Coffee - Broad,$27.37,$65.95,25,"1,267"
"Sep 19, 2025",Catalog - Auto,$89.59,$208.08,125,"3,658"
"Sep 20, 2025",Skillets - Exact,$65.78,$247.40,119,"6,110"
"Sep 20, 2025",Skillets - Broad,$48.12,$124.05,59,"2,570"
"Sep 20, 2025",Knives - Exact,$84.74,$241.99,101,"4,221"
"Sep 20, 2025",Knives - Broad,$55.47,$142.24,50,"1,526"
"Sep 20, 2025",Boards - Exact,$38.01,$143.41,51,"1,897"
"Sep 20, 2025",Coffee - Exact,$46.67,$169.79,56,"3,215"
"Sep 20, 2025",Coffee - Broad,$33.81,$63.25,43,"1,314"
"Sep 20, 2025",Catalog - Auto,$114.77,$100.49,172,"5,906"
"Sep 21, 2025",Skillets - Exact,$77.14,$207.90,88,"3,525"
"Sep 21, 2025",Skillets - Broad,$68.85,$167.73,87,"4,356"
"Sep 21, 2025",Knives - Exact,$77.62,$490.63,90,"2,719"
"Sep 21, 2025",Knives - Broad,$48.13,$148.33,50,"1,861"
"Sep 21, 2025",Boards - Exact,$44.50,$202.44,43,"2,354"
"Sep 21, 2025",Coffee - Exact,$37.15,$144.46,63,"3,485"
"Sep 21, 2025",Coffee - Broad,$18.57,$50.39,23,"1,230"
"Sep 21, 2025",Catalog - Auto,$154.67,$237.94,141,"4,625"
"Sep 22, 2025",Skillets - Exact,$96.04,$391.84,118,"6,651"
"Sep 22, 2025",Skillets - Broad,$60.00,$157.08,86,"3,560"
"Sep 22, 2025",Knives - Exact,$99.53,$326.80,123,"4,731"
"Sep 22, 2025",Knives - Broad,$53.02,$122.85,70,"2,296"
"Sep 22, 2025",Boards - Exact,$23.53,$153.65,37,"1,858"
"Sep 22, 2025",Coffee - Exact,$33.65,$103.27,53,"1,499"
"Sep 22, 2025",Coffee - Broad,$27.17,$71.53,24,706
"Sep 22, 2025",Catalog - Auto,$128.23,$254.31,146,"7,620"
"Sep 23, 2025",Skillets - Exact,$55.57,$251.82,63,"3,762"
"Sep 23, 2025",Skillets - Broad,$51.67,$113.44,83,"3,799"
"Sep 23, 2025",Knives - Exact,$72.75,$327.43,75,"4,242"
"Sep 23, 2025",Knives - Broad,$33.91,$57.41,39,"1,463"
"Sep 23, 2025",Boards - Exact,$42.39,$226.32,45,"2,663"
"Sep 23, 2025",Coffee - Exact,$36.11,$168.73,44,"1,383"
"Sep 23, 2025",Coffee - Broad,$35.30,$75.82,60,"3,468"
"Sep 23, 2025",Catalog - Auto,$84.63,$154.90,87,"2,706"
"Sep 24, 2025",Skillets - Exact,$73.33,$182.28,124,"6,217"
"Sep 24, 2025",Skillets - Broad,$52.23,$130.45,51,"2,600"
"Sep 24, 2025",Knives - Exact,$47.71,$196.22,51,"2,990"
"Sep 24, 2025",Knives - Broad,$30.53,$100.81,38,"1,983"
"Sep 24, 2025",Boards - Exact,$23.28,$129.03,35,"1,584"
"Sep 24, 2025",Coffee - Exact,$31.87,$108.85,55,"2,252"
"Sep 24, 2025",Coffee - Broad,$24.97,$75.84,27,"1,378"
"Sep 24, 2025",Catalog - Auto,$105.46,$160.49,118,"5,334"
"Sep 25, 2025",Skillets - Exact,$65.01,$201.34,92,"4,129"
"Sep 25, 2025",Skillets - Broad,$32.87,$88.68,54,"2,535"
"Sep 25, 2025",Knives - Exact,$44.98,$154.35,44,"2,068"
"Sep 25, 2025",Knives - Broad,$34.66,$81.93,43,"2,393"
"Sep 25, 2025",Boards - Exact,$23.04,$103.17,30,888
"Sep 25, 2025",Coffee - Exact,$37.00,$197.79,48,"2,794"
"Sep 25, 2025",Coffee - Broad,$27.17,$104.82,44,"1,708"
"Sep 25, 2025",Catalog - Auto,$81.13,$162.64,83,"4,456"
"Sep 26, 2025",Skillets - Exact,$61.90,$298.25,107,"6,157"
"Sep 26, 2025",Skillets - Broad,$49.61,$146.04,58,"2,017"
"Sep 26, 2025",Knives - Exact,$68.88,$489.48,121,"6,033"
"Sep 26, 2025",Knives - Broad,$44.27,$131.20,63,"1,872"
"Sep 26, 2025",Boards - Exact,$34.53,$117.56,40,"1,942"
"Sep 26, 2025",Coffee - Exact,$42.28,$146.55,68,"2,115"
"Sep 26, 2025",Coffee - Broad,$21.13,$45.00,33,"1,163"
"Sep 26, 2025",Catalog - Auto,$83.51,$136.55,130,"5,983"
"Sep 27, 2025",Skillets - Exact,$81.04,$332.83,77,"2,528"
"Sep 27, 2025",Skillets - Broad,$50.59,$148.25,50,"2,410"
"Sep 27, 2025",Knives - Exact,$40.14,$206.92,43,"1,227"
"Sep 27, 2025",Knives - Broad,$52.05,$99.78,53,"2,124"
"Sep 27, 2025",Boards - Exact,$29.95,$125.92,36,"1,511"
"Sep 27, 2025",Coffee - Exact,$44.09,$171.72,40,"1,341"
"Sep 27, 2025",Coffee - Broad,$29.62,$62.63,34,"1,495"
"Sep 27, 2025",Catalog - Auto,$90.26,$104.88,127,"6,371"
"Sep 28, 2025",Skillets - Exact,$77.48,$340.70,96,"2,783"
"Sep 28, 2025",Skillets - Broad,$57.90,$173.52,60,"2,672"
"Sep 28, 2025",Knives - Exact,$66.40,$252.21,115,"3,588"
"Sep 28, 2025",Knives - Broad,$38.04,$119.06,68,"3,117"
"Sep 28, 2025",Boards - Exact,$29.79,$176.52,35,"1,674"
"Sep 28, 2025",Coffee - Exact,$32.27,$209.56,52,"2,997"
"Sep 28, 2025",Coffee - Broad,$24.21,$43.98,40,"1,369"
"Sep 28, 2025",Catalog - Auto,$88.83,$155.02,121,"4,031"
"Sep 29, 2025",Skillets - Exact,$84.25,$382.78,86,"4,866"
"Sep 29, 2025",Skillets - Broad,$44.02,$150.53,41,"1,264"
"Sep 29, 2025",Knives - Exact,$61.56,$295.82,57,"2,346"
"Sep 29, 2025",Knives - Broad,$33.74,$110.10,34,986
"Sep 29, 2025",Boards - Exact,$27.46,$190.86,40,"1,973"
"Sep 29, 2025",Coffee - Exact,$24.22,$115.73,24,"1,050"
"Sep 29, 2025",Coffee - Broad,$26.36,$63.37,32,"1,098"
"Sep 29, 2025",Catalog - Auto,$113.78,$272.21,108,"6,057"
"Sep 30, 2025",Skillets - Exact,$85.22,$495.42,80,"3,702"
"Sep 30, 2025",Skillets - Broad,$46.13,$135.61,62,"2,308"
"Sep 30, 2025",Knives - Exact,$81.25,$352.05,98,"5,528"
"Sep 30, 2025",Knives - Broad,$34.55,$102.17,43,"1,843"
"Sep 30, 2025",Boards - Exact,$35.72,$194.82,54,"2,750"
"Sep 30, 2025",Coffee - Exact,$31.59,$150.58,30,"1,119"
"Sep 30, 2025",Coffee - Broad,$24.43,$89.63,24,"1,182"
"Sep 30, 2025",Catalog - Auto,$74.07,$241.66,94,"5,080"
"Oct 01, 2025",Skillets - Exact,$53.62,$214.23,50,"2,031"
"Oct 01, 2025",Skillets - Broad,$33.65,$127.22,49,"2,690"
"Oct 01, 2025",Knives - Exact,$56.71,$255.96,82,"3,586"
"Oct 01, 2025",Knives - Broad,$31.25,$84.56,53,"2,459"
"Oct 01, 2025",Boards - Exact,$22.49,$129.59,28,"1,141"
"Oct 01, 2025",Coffee - Exact,$24.52,$102.86,29,"1,250"
"Oct 01, 2025",Coffee - Broad,$22.36,$89.59,30,"1,609"
"Oct 01, 2025",Catalog - Auto,$121.15,$213.61,139,"5,161"
"Oct 02, 2025",Skillets - Exact,$90.03,$488.76,97,"3,508"
"Oct 02, 2025",Skillets - Broad,$47.55,$100.99,62,"3,473"
"Oct 02, 2025",Knives - Exact,$69.69,$362.66,122,"4,951"
"Oct 02, 2025",Knives - Broad,$41.49,$92.54,49,"1,980"
"Oct 02, 2025",Boards - Exact,$25.12,$93.82,31,"1,753"
"Oct 02, 2025",Coffee - Exact,$45.34,$156.14,50,"2,955"
"Oct 02, 2025",Coffee - Broad,$20.92,$39.33,20,705
"Oct 02, 2025",Catalog - Auto,$90.17,$149.25,161,"7,375"
"Oct 03, 2025",Skillets - Exact,$67.55,$327.07,90,"3,702"
"Oct 03, 2025",Skillets - Broad,$43.46,$86.64,44,"1,424"
"Oct 03, 2025",Knives - Exact,$52.23,$219.05,94,"3,531"
"Oct 03, 2025",Knives - Broad,$41.23,$143.78,58,"2,478"
"Oct 03, 2025",Boards - Exact,$28.33,$135.20,30,"1,392"
"Oct 03, 2025",Coffee - Exact,$24.25,$131.06,37,"1,942"
"Oct 03, 2025",Coffee - Broad,$29.94,$64.06,45,"1,529"
"Oct 03, 2025",Catalog - Auto,$65.23,$131.77,96,"4,912"
"Oct 04, 2025",Skillets - Exact,$55.01,$207.86,53,"2,837"
"Oct 04, 2025",Skillets - Broad,$59.07,$177.04,64,"2,867"
"Oct 04, 2025",Knives - Exact,$59.79,$209.18,98,"3,734"
"Oct 04, 2025",Knives - Broad,$42.00,$137.66,52,"2,580"
"Oct 04, 2025",Boards - Exact,$31.55,$71.07,49,"2,626"
"Oct 04, 2025",Coffee - Exact,$32.82,$167.15,34,"1,338"
"Oct 04, 2025",Coffee - Broad,$24.22,$66.35,34,"1,099"
"Oct 04, 2025",Catalog - Auto,$107.10,$148.75,118,"4,631"
"Oct 05, 2025",Skillets - Exact,$50.51,$257.36,54,"2,444"
"Oct 05, 2025",Skillets - Broad,$38.88,$106.68,38,"1,155"
"Oct 05, 2025",Knives - Exact,$44.97,$159.15,44,"2,048"
"Oct 05, 2025",Knives - Broad,$35.84,$87.97,38,"2,001"
"Oct 05, 2025",Boards - Exact,$45.54,$227.45,78,"3,671"
"Oct 05, 2025",Coffee - Exact,$28.42,$88.53,38,"1,953"
"Oct 05, 2025",Coffee - Broad,$29.88,$67.16,51,"2,853"
"Oct 05, 2025",Catalog - Auto,$73.25,$162.69,129,"5,918"
"Oct 06, 2025",Skillets - Exact,$70.49,$385.70,89,"5,122"
"Oct 06, 2025",Skillets - Broad,$48.61,$149.99,83,"4,863"
"Oct 06, 2025",Knives - Exact,$41.52,$179.36,51,"1,787"
"Oct 06, 2025",Knives - Broad,$31.80,$59.78,47,"1,995"
"Oct 06, 2025",Boards - Exact,$33.63,$171.67,36,"1,749"
"Oct 06, 2025",Coffee - Exact,$32.07,$128.38,42,"1,237"
"Oct 06, 2025",Coffee - Broad,$22.79,$69.74,28,"1,004"
"Oct 06, 2025",Catalog - Auto,$78.64,$174.16,116,"3,486"
"Oct 07, 2025",Skillets - Exact,$70.58,$305.15,92,"3,846"
"Oct 07, 2025",Skillets - Broad,$42.43,$161.87,43,"2,497"
"Oct 07, 2025",Knives - Exact,$50.86,$291.38,52,"2,218"
"Oct 07, 2025",Knives - Broad,$40.05,$97.29,55,"1,723"
"Oct 07, 2025",Boards - Exact,$28.07,$153.55,36,"1,650"
"Oct 07, 2025",Coffee - Exact,$28.45,$134.12,31,"1,322"
"Oct 07, 2025",Coffee - Broad,$26.17,$50.68,39,"1,435"
"Oct 07, 2025",Catalog - Auto,$82.51,$142.89,149,"4,944"
"Oct 08, 2025",Skillets - Exact,$53.80,$305.41,73,"3,325"
"Oct 08, 2025",Skillets - Broad,$35.17,$111.13,32,"1,007"
"Oct 08, 2025",Knives - Exact,$56.40,$237.70,51,"2,436"
"Oct 08, 2025",Knives - Broad,$27.07,$139.79,45,"2,663"
"Oct 08, 2025",Boards - Exact,$35.34,$114.93,45,"1,813"
"Oct 08, 2025",Coffee - Exact,$36.99,$162.12,33,"1,324"
"Oct 08, 2025",Coffee - Broad,$24.36,$83.51,41,"2,359"
"Oct 08, 2025",Catalog - Auto,$79.66,$124.93,126,"5,679"
"Oct 09, 2025",Skillets - Exact,$81.65,$413.02,128,"4,584"
"Oct 09, 2025",Skillets - Broad,$60.12,$153.07,63,"3,779"
"Oct 09, 2025",Knives - Exact,$56.39,$250.70,61,"1,825"
"Oct 09, 2025",Knives - Broad,$28.39,$95.61,32,"1,270"
"Oct 09, 2025",Boards - Exact,$24.71,$86.92,37,"1,703"
"Oct 09, 2025",Coffee - Exact,$34.29,$166.76,42,"1,608"
"Oct 09, 2025",Coffee - Broad,$20.96,$39.39,37,"2,204"
"Oct 09, 2025",Catalog - Auto,$71.65,$130.82,111,"4,115"
"Oct 10, 2025",Skillets - Exact,$76.09,$388.25,76,"4,457"
"Oct 10, 2025",Skillets - Broad,$47.73,$134.43,48,"1,571"
"Oct 10, 2025",Knives - Exact,$53.93,$220.46,73,"2,411"
"Oct 10, 2025",Knives - Broad,$36.94,$84.64,34,"1,062"
"Oct 10, 2025",Boards - Exact,$36.41,$148.30,42,"1,607"
"Oct 10, 2025",Coffee - Exact,$31.14,$101.63,47,"2,022"
"Oct 10, 2025",Coffee - Broad,$24.00,$65.60,22,972
"Oct 10, 2025",Catalog - Auto,$74.44,$169.91,79,"4,022"
"Oct 11, 2025",Skillets - Exact,$73.39,$190.74,104,"3,243"
"Oct 11, 2025",Skillets - Broad,$64.63,$227.01,94,"2,815"
"Oct 11, 2025",Knives - Exact,$51.84,$243.17,58,"3,092"
"Oct 11, 2025",Knives - Broad,$33.91,$113.17,39,"1,795"
"Oct 11, 2025",Boards - Exact,$24.40,$106.19,36,"2,136"
"Oct 11, 2025",Coffee - Exact,$43.40,$214.65,49,"1,756"
"Oct 11, 2025",Coffee - Broad,$19.16,$77.29,19,891
"Oct 11, 2025",Catalog - Auto,$126.53,$276.70,131,"4,896"
"Oct 12, 2025",Skillets - Exact,$73.25,$327.49,78,"2,879"
"Oct 12, 2025",Skillets - Broad,$56.68,$180.92,94,"3,613"
"Oct 12, 2025",Knives - Exact,$57.22,$141.47,70,"3,238"
"Oct 12, 2025",Knives - Broad,$43.07,$110.44,61,"3,386"
"Oct 12, 2025",Boards - Exact,$25.31,$115.62,25,752
"Oct 12, 2025",Coffee - Exact,$36.06,$106.68,33,"1,670"
"Oct 12, 2025",Coffee - Broad,$38.79,$86.92,59,"2,852"
"Oct 12, 2025",Catalog - Auto,$95.68,$154.91,98,"4,147"
"Oct 13, 2025",Skillets - Exact,$66.72,$286.03,63,"2,265"
"Oct 13, 2025",Skillets - Broad,$50.13,$182.12,55,"2,918"
"Oct 13, 2025",Knives - Exact,$48.72,$201.86,76,"2,652"
"Oct 13, 2025",Knives - Broad,$41.72,$143.20,52,"1,863"
"Oct 13, 2025",Boards - Exact,$32.23,$228.64,40,"1,644"
"Oct 13, 2025",Coffee - Exact,$29.56,$223.92,37,"1,055"
"Oct 13, 2025",Coffee - Broad,$34.51,$94.73,36,"2,009"
"Oct 13, 2025",Catalog - Auto,$93.96,$157.32,106,"5,033"
"Oct 14, 2025",Skillets - Exact,$75.11,$372.30,122,"5,990"
"Oct 14, 2025",Skillets - Broad,$48.46,$130.30,66,"2,282"
"Oct 14, 2025",Knives - Exact,$56.61,$308.46,53,"2,968"
"Oct 14, 2025",Knives - Broad,$37.39,$62.92,34,"1,458"
"Oct 14, 2025",Boards - Exact,$35.93,$122.25,46,"1,667"
"Oct 14, 2025",Coffee - Exact,$34.19,$172.54,52,"3,052"
"Oct 14, 2025",Coffee - Broad,$29.71,$72.59,32,"1,235"
"Oct 14, 2025",Catalog - Auto,$107.85,$241.22,101,"3,803"
"Oct 15, 2025",Skillets - Exact,$79.64,$273.04,87,"3,692"
"Oct 15, 2025",Skillets - Broad,$52.58,$109.79,57,"2,090"
"Oct 15, 2025",Knives - Exact,$60.93,$284.68,83,"3,204"
"Oct 15, 2025",Knives - Broad,$54.62,$155.38,83,"3,763"
"Oct 15, 2025",Boards - Exact,$33.88,$126.22,31,"1,291"
"Oct 15, 2025",Coffee - Exact,$35.58,$129.75,62,"3,167"
"Oct 15, 2025",Coffee - Broad,$30.12,$128.93,51,"2,696"
"Oct 15, 2025",Catalog - Auto,$104.00,$196.26,161,"9,639"
"Oct 16, 2025",Skillets - Exact,$71.57,$370.95,79,"4,070"
"Oct 16, 2025",Skillets - Broad,$63.48,$198.32,97,"2,719"
"Oct 16, 2025",Knives - Exact,$49.13,$169.73,79,"2,683"
"Oct 16, 2025",Knives - Broad,$35.61,$100.69,61,"3,496"
"Oct 16, 2025",Boards - Exact,$40.35,$120.32,37,"1,205"
"Oct 16, 2025",Coffee - Exact,$47.45,$236.14,51,"1,585"
"Oct 16, 2025",Coffee - Broad,$25.96,$101.99,29,"1,728"
"Oct 16, 2025",Catalog - Auto,$94.97,$273.04,87,"4,324"
"Oct 17, 2025",Skillets - Exact,$78.06,$384.80,103,"2,898"
"Oct 17, 2025",Skillets - Broad,$57.31,$166.42,82,"3,586"
"Oct 17, 2025",Knives - Exact,$59.58,$265.71,100,"5,126"
