Campaign Name,Ad Group Name,Targeting,Match Type,Customer Search Term,Impressions,Clicks,Spend,7 Day Total Sales,7 Day Total Orders (#),7 Day Total Units (#)
Coffee - Exact,Core,cast,BROAD,cast iron recipe ideas,"3,403",81,$56.72,$0.00,0,0
Coffee - Exact,Core,how,BROAD,how to season cast iron,"4,240",100,$70.66,$0.00,0,0
Coffee - Broad,Core,french,BROAD,french press 34oz,"2,755",76,$61.22,$289.85,9,9
Coffee - Broad,Core,pour,BROAD,pour over kettle gooseneck,"5,416",150,$120.36,$406.78,9,9
Coffee - Broad,Core,coffee,BROAD,coffee canister airtight,"4,608",127,$102.40,$442.60,19,20
Coffee - Broad,Core,tea,BROAD,tea infuser mug,"6,386",177,$141.91,$633.24,34,36
Coffee - Broad,Core,french,BROAD,french press 34oz,"4,948",137,$109.95,$356.14,11,11
Coffee - Broad,Core,pour,BROAD,pour over kettle gooseneck,"6,885",191,$153.01,$608.32,13,13
Coffee - Broad,Core,walmart,BROAD,walmart cutting board,"3,059",72,$50.98,$0.00,0,0
Coffee - Broad,Core,coffee,BROAD,coffee shop wholesale,"3,306",78,$55.10,$0.00,0,0
Catalog - Auto,Core,cast,BROAD,cast iron skillet 10in,"18,370",510,$408.23,"$1,898.66",52,55
Catalog - Auto,Core,cast,BROAD,cast iron skillet 12in,"23,253",645,$516.74,"$1,776.71",38,40
Catalog - Auto,Core,enamel,BROAD,enamel dutch oven 5qt,"12,243",340,$272.06,"$1,037.82",13,13
Catalog - Auto,Core,carbon,BROAD,carbon steel wok,"19,446",540,$432.14,"$1,584.00",30,31
Catalog - Auto,Core,bamboo,BROAD,bamboo cutting board l,"23,745",659,$527.66,"$1,298.30",47,49
Catalog - Auto,Core,bamboo,BROAD,bamboo cutting board m,"14,137",392,$314.15,"$1,452.68",74,78
Catalog - Auto,Core,coffee,BROAD,coffee shop wholesale,"8,771",208,$146.19,$0.00,0,0
Catalog - Auto,Core,walmart,BROAD,walmart cutting board,"6,294",149,$104.90,$0.00,0,0
