Date,FNSKU,ASIN,MSKU,Title,Event Type,Reference ID,Quantity,Fulfillment Center,Disposition,Reason,Country,Reconciled Quantity,Unreconciled Quantity,Date and Time
5/30/2026,X0TH0011,B0TH011KX,TH-KNISHA-11,Knife Sharpener Whetstone,Adjustments,ADJ-77113,-3,LAX9,SELLABLE,N,US,0,3,5/30/2026 1:02:44 PM
2/20/2026,X0TH0012,B0TH012KX,TH-STAMIX-12,Stainless Mixing Bowls 5pc,Receipts,FBA15TH77123,495,MDW2,SELLABLE,,US,0,0,2/20/2026 10:14:02 AM
4/22/2026,X0TH0012,B0TH012KX,TH-STAMIX-12,Stainless Mixing Bowls 5pc,Receipts,FBA15TH77124,495,LAX9,SELLABLE,,US,0,0,4/22/2026 10:14:02 AM
7/10/2026,X0TH0012,B0TH012KX,TH-STAMIX-12,Stainless Mixing Bowls 5pc,Adjustments,ADJ-77125,-18,ONT8,SELLABLE,M,US,0,18,7/10/2026 1:02:44 PM
8/7/2026,X0TH0012,B0TH012KX,TH-STAMIX-12,Stainless Mixing Bowls 5pc,Adjustments,ADJ-77126,-4,MDW2,DAMAGED,D,US,0,4,8/7/2026 1:02:44 PM
3/26/2026,X0TH0013,B0TH013KX,TH-SILSPA-13,Silicone Spatula Set,Receipts,FBA15TH77135,1350,PHX7,SELLABLE,,US,0,0,3/26/2026 10:14:02 AM
7/19/2026,X0TH0013,B0TH013KX,TH-SILSPA-13,Silicone Spatula Set,Receipts,FBA15TH77136,1350,ONT8,SELLABLE,,US,0,0,7/19/2026 10:14:02 AM
8/21/2026,X0TH0013,B0TH013KX,TH-SILSPA-13,Silicone Spatula Set,Adjustments,ADJ-77137,-4,LAX9,DAMAGED,Q,US,4,,8/21/2026 1:02:44 PM
8/9/2026,X0TH0013,B0TH013KX,TH-SILSPA-13,Silicone Spatula Set,Adjustments,ADJ-77138,-1,MDW2,CUSTOMER_DAMAGED,E,US,1,0,8/9/2026 3:00:00 PM
3/15/2026,X0TH0014,B0TH014KX,TH-MEACUP-14,Measuring Cups Steel,Receipts,FBA15TH77145,705,PHX7,SELLABLE,,US,0,0,3/15/2026 10:14:02 AM
3/5/2026,X0TH0014,B0TH014KX,TH-MEACUP-14,Measuring Cups Steel,Receipts,FBA15TH77146,705,DFW6,SELLABLE,,US,0,0,3/5/2026 10:14:02 AM
7/15/2026,X0TH0014,B0TH014KX,TH-MEACUP-14,Measuring Cups Steel,Adjustments,ADJ-77147,-10,ONT8,SELLABLE,M,US,10,,7/15/2026 1:02:44 PM
8/13/2026,X0TH0014,B0TH014KX,TH-MEACUP-14,Measuring Cups Steel,Adjustments,ADJ-77148,-3,MDW2,DAMAGED,Q,US,0,3,8/13/2026 1:02:44 PM
7/6/2026,X0TH0014,B0TH014KX,TH-MEACUP-14,Measuring Cups Steel,Adjustments,ADJ-77149,-12,LAX9,DAMAGED,K,US,12,,7/6/2026 1:02:44 PM
5/30/2026,X0TH0014,B0TH014KX,TH-MEACUP-14,Measuring Cups Steel,Adjustments,ADJ-77150,-8,LAX9,SELLABLE,N,US,0,8,5/30/2026 1:02:44 PM
7/29/2026,X0TH0014,B0TH014KX,TH-MEACUP-14,Measuring Cups Steel,Adjustments,ADJ-77151,-1,DFW6,CUSTOMER_DAMAGED,E,US,1,0,7/29/2026 3:00:00 PM
8/4/2026,X0TH0015,B0TH015KX,TH-SALCEL-15,Salt Cellar Acacia,Receipts,FBA15TH77159,525,DFW6,SELLABLE,,US,0,0,8/4/2026 10:14:02 AM
4/1/2026,X0TH0015,B0TH015KX,TH-SALCEL-15,Salt Cellar Acacia,Receipts,FBA15TH77160,525,DFW6,SELLABLE,,US,0,0,4/1/2026 10:14:02 AM
7/28/2026,X0TH0015,B0TH015KX,TH-SALCEL-15,Salt Cellar Acacia,Adjustments,ADJ-77161,-20,LAX9,SELLABLE,M,US,20,,7/28/2026 1:02:44 PM
8/18/2026,X0TH0015,B0TH015KX,TH-SALCEL-15,Salt Cellar Acacia,Adjustments,ADJ-77162,-10,ONT8,DAMAGED,Q,US,10,,8/18/2026 1:02:44 PM
5/26/2026,X0TH0015,B0TH015KX,TH-SALCEL-15,Salt Cellar Acacia,Adjustments,ADJ-77163,-8,MDW2,SELLABLE,N,US,0,8,5/26/2026 1:02:44 PM
5/8/2026,X0TH0016,B0TH016KX,TH-PEPMIL-16,Pepper Mill Walnut,Receipts,FBA15TH77168,390,ONT8,SELLABLE,,US,0,0,5/8/2026 10:14:02 AM
5/4/2026,X0TH0016,B0TH016KX,TH-PEPMIL-16,Pepper Mill Walnut,Receipts,FBA15TH77169,390,PHX7,SELLABLE,,US,0,0,5/4/2026 10:14:02 AM
7/24/2026,X0TH0016,B0TH016KX,TH-PEPMIL-16,Pepper Mill Walnut,Adjustments,ADJ-77170,-18,ONT8,SELLABLE,M,US,0,18,7/24/2026 1:02:44 PM
8/20/2026,X0TH0016,B0TH016KX,TH-PEPMIL-16,Pepper Mill Walnut,Adjustments,ADJ-77171,-10,LAX9,DAMAGED,Q,US,0,10,8/20/2026 1:02:44 PM
7/6/2026,X0TH0016,B0TH016KX,TH-PEPMIL-16,Pepper Mill Walnut,Adjustments,ADJ-77172,-13,DFW6,DAMAGED,H,US,13,,7/6/2026 1:02:44 PM
6/4/2026,X0TH0016,B0TH016KX,TH-PEPMIL-16,Pepper Mill Walnut,Adjustments,ADJ-77173,-7,DFW6,SELLABLE,N,US,7,,6/4/2026 1:02:44 PM
8/11/2026,X0TH0017,B0TH017KX,TH-FREPRE-17,French Press 34oz,Receipts,FBA15TH77177,585,MDW2,SELLABLE,,US,0,0,8/11/2026 10:14:02 AM
6/25/2026,X0TH0017,B0TH017KX,TH-FREPRE-17,French Press 34oz,Receipts,FBA15TH77178,585,LAX9,SELLABLE,,US,0,0,6/25/2026 10:14:02 AM
7/11/2026,X0TH0017,B0TH017KX,TH-FREPRE-17,French Press 34oz,Adjustments,ADJ-77179,-16,DFW6,SELLABLE,M,US,0,16,7/11/2026 1:02:44 PM
7/22/2026,X0TH0017,B0TH017KX,TH-FREPRE-17,French Press 34oz,Adjustments,ADJ-77180,9,MDW2,SELLABLE,F,US,1,0,7/22/2026 8:45:10 AM
7/10/2026,X0TH0017,B0TH017KX,TH-FREPRE-17,French Press 34oz,Adjustments,ADJ-77181,-8,PHX7,DAMAGED,K,US,8,,7/10/2026 1:02:44 PM
8/4/2026,X0TH0017,B0TH017KX,TH-FREPRE-17,French Press 34oz,Adjustments,ADJ-77182,-1,MDW2,CUSTOMER_DAMAGED,E,US,1,0,8/4/2026 3:00:00 PM
4/24/2026,X0TH0018,B0TH018KX,TH-POUOVE-18,Pour Over Kettle Gooseneck,Receipts,FBA15TH77187,360,ONT8,SELLABLE,,US,0,0,4/24/2026 10:14:02 AM
7/5/2026,X0TH0018,B0TH018KX,TH-POUOVE-18,Pour Over Kettle Gooseneck,Receipts,FBA15TH77188,360,LAX9,SELLABLE,,US,0,0,7/5/2026 10:14:02 AM
7/24/2026,X0TH0018,B0TH018KX,TH-POUOVE-18,Pour Over Kettle Gooseneck,Adjustments,ADJ-77189,-18,ONT8,SELLABLE,M,US,0,18,7/24/2026 1:02:44 PM
8/15/2026,X0TH0018,B0TH018KX,TH-POUOVE-18,Pour Over Kettle Gooseneck,Adjustments,ADJ-77190,-4,PHX7,DAMAGED,Q,US,4,,8/15/2026 1:02:44 PM
7/11/2026,X0TH0018,B0TH018KX,TH-POUOVE-18,Pour Over Kettle Gooseneck,Adjustments,ADJ-77191,-4,PHX7,SELLABLE,6,US,4,,7/11/2026 1:02:44 PM
6/18/2026,X0TH0019,B0TH019KX,TH-COFCAN-19,Coffee Canister Airtight,Receipts,FBA15TH77196,645,ONT8,SELLABLE,,US,0,0,6/18/2026 10:14:02 AM
8/11/2026,X0TH0019,B0TH019KX,TH-COFCAN-19,Coffee Canister Airtight,Receipts,FBA15TH77197,645,MDW2,SELLABLE,,US,0,0,8/11/2026 10:14:02 AM
7/11/2026,X0TH0019,B0TH019KX,TH-COFCAN-19,Coffee Canister Airtight,Adjustments,ADJ-77198,-17,LAX9,SELLABLE,M,US,0,17,7/11/2026 1:02:44 PM
7/27/2026,X0TH0019,B0TH019KX,TH-COFCAN-19,Coffee Canister Airtight,Adjustments,ADJ-77199,7,DFW6,SELLABLE,F,US,1,0,7/27/2026 8:45:10 AM
8/11/2026,X0TH0019,B0TH019KX,TH-COFCAN-19,Coffee Canister Airtight,Adjustments,ADJ-77200,-6,DFW6,DAMAGED,D,US,6,,8/11/2026 1:02:44 PM
7/10/2026,X0TH0019,B0TH019KX,TH-COFCAN-19,Coffee Canister Airtight,Adjustments,ADJ-77201,-9,LAX9,DAMAGED,H,US,0,9,7/10/2026 1:02:44 PM
6/9/2026,X0TH0019,B0TH019KX,TH-COFCAN-19,Coffee Canister Airtight,Adjustments,ADJ-77202,-4,MDW2,SELLABLE,N,US,4,,6/9/2026 1:02:44 PM
6/10/2026,X0TH0020,B0TH020KX,TH-TEAINF-20,Tea Infuser Mug,Receipts,FBA15TH77208,570,MDW2,SELLABLE,,US,0,0,6/10/2026 10:14:02 AM
2/20/2026,X0TH0020,B0TH020KX,TH-TEAINF-20,Tea Infuser Mug,Receipts,FBA15TH77209,570,PHX7,SELLABLE,,US,0,0,2/20/2026 10:14:02 AM
7/14/2026,X0TH0020,B0TH020KX,TH-TEAINF-20,Tea Infuser Mug,Adjustments,ADJ-77210,-14,LAX9,SELLABLE,M,US,14,,7/14/2026 1:02:44 PM
8/10/2026,X0TH0020,B0TH020KX,TH-TEAINF-20,Tea Infuser Mug,Adjustments,ADJ-77211,-6,MDW2,DAMAGED,Q,US,0,6,8/10/2026 1:02:44 PM
6/20/2026,X0TH0020,B0TH020KX,TH-TEAINF-20,Tea Infuser Mug,Adjustments,ADJ-77212,-4,LAX9,SELLABLE,N,US,4,,6/20/2026 1:02:44 PM
4/6/2026,X0TH0021,B0TH021KX,TH-APRWAX-21,Apron Waxed Canvas,Receipts,FBA15TH77220,315,ONT8,SELLABLE,,US,0,0,4/6/2026 10:14:02 AM
4/18/2026,X0TH0021,B0TH021KX,TH-APRWAX-21,Apron Waxed Canvas,Receipts,FBA15TH77221,315,PHX7,SELLABLE,,US,0,0,4/18/2026 10:14:02 AM
7/10/2026,X0TH0021,B0TH021KX,TH-APRWAX-21,Apron Waxed Canvas,Adjustments,ADJ-77222,-21,MDW2,SELLABLE,M,US,21,,7/10/2026 1:02:44 PM
8/9/2026,X0TH0021,B0TH021KX,TH-APRWAX-21,Apron Waxed Canvas,Adjustments,ADJ-77223,-5,ONT8,DAMAGED,D,US,5,,8/9/2026 1:02:44 PM
5/4/2026,X0TH0022,B0TH022KX,TH-OVEMIT-22,Oven Mitts Aramid Pair,Receipts,FBA15TH77230,780,MDW2,SELLABLE,,US,0,0,5/4/2026 10:14:02 AM
7/13/2026,X0TH0022,B0TH022KX,TH-OVEMIT-22,Oven Mitts Aramid Pair,Receipts,FBA15TH77231,780,DFW6,SELLABLE,,US,0,0,7/13/2026 10:14:02 AM
7/9/2026,X0TH0022,B0TH022KX,TH-OVEMIT-22,Oven Mitts Aramid Pair,Adjustments,ADJ-77232,-19,MDW2,SELLABLE,M,US,19,,7/9/2026 1:02:44 PM
8/6/2026,X0TH0022,B0TH022KX,TH-OVEMIT-22,Oven Mitts Aramid Pair,Adjustments,ADJ-77233,-8,ONT8,DAMAGED,Q,US,8,,8/6/2026 1:02:44 PM
7/6/2026,X0TH0022,B0TH022KX,TH-OVEMIT-22,Oven Mitts Aramid Pair,Adjustments,ADJ-77234,-4,DFW6,DAMAGED,H,US,4,,7/6/2026 1:02:44 PM
6/15/2026,X0TH0022,B0TH022KX,TH-OVEMIT-22,Oven Mitts Aramid Pair,Adjustments,ADJ-77235,-6,DFW6,SELLABLE,N,US,0,6,6/15/2026 1:02:44 PM
7/8/2026,X0TH0023,B0TH023KX,TH-TRICOR-23,Trivet Cork Set,Receipts,FBA15TH77242,915,ONT8,SELLABLE,,US,0,0,7/8/2026 10:14:02 AM
3/22/2026,X0TH0023,B0TH023KX,TH-TRICOR-23,Trivet Cork Set,Receipts,FBA15TH77243,915,ONT8,SELLABLE,,US,0,0,3/22/2026 10:14:02 AM
7/11/2026,X0TH0023,B0TH023KX,TH-TRICOR-23,Trivet Cork Set,Adjustments,ADJ-77244,-8,MDW2,SELLABLE,M,US,8,,7/11/2026 1:02:44 PM
8/22/2026,X0TH0023,B0TH023KX,TH-TRICOR-23,Trivet Cork Set,Adjustments,ADJ-77245,-3,ONT8,DAMAGED,Q,US,3,,8/22/2026 1:02:44 PM
7/10/2026,X0TH0023,B0TH023KX,TH-TRICOR-23,Trivet Cork Set,Adjustments,ADJ-77246,-8,DFW6,DAMAGED,K,US,8,,7/10/2026 1:02:44 PM
6/3/2026,X0TH0024,B0TH024KX,TH-KITTOW-24,Kitchen Towels Linen 4pk,Receipts,FBA15TH77251,510,DFW6,SELLABLE,,US,0,0,6/3/2026 10:14:02 AM
5/13/2026,X0TH0024,B0TH024KX,TH-KITTOW-24,Kitchen Towels Linen 4pk,Receipts,FBA15TH77252,510,PHX7,SELLABLE,,US,0,0,5/13/2026 10:14:02 AM
7/15/2026,X0TH0024,B0TH024KX,TH-KITTOW-24,Kitchen Towels Linen 4pk,Adjustments,ADJ-77253,-20,DFW6,SELLABLE,M,US,20,,7/15/2026 1:02:44 PM
8/17/2026,X0TH0024,B0TH024KX,TH-KITTOW-24,Kitchen Towels Linen 4pk,Adjustments,ADJ-77254,-4,MDW2,DAMAGED,Q,US,4,,8/17/2026 1:02:44 PM
7/11/2026,X0TH0024,B0TH024KX,TH-KITTOW-24,Kitchen Towels Linen 4pk,Adjustments,ADJ-77255,-9,LAX9,SELLABLE,6,US,9,,7/11/2026 1:02:44 PM
6/22/2026,X0TH0024,B0TH024KX,TH-KITTOW-24,Kitchen Towels Linen 4pk,Adjustments,ADJ-77256,-6,LAX9,SELLABLE,N,US,6,,6/22/2026 1:02:44 PM
