snapshot-date,sku,fnsku,asin,product-name,condition,available,pending-removal-quantity,inv-age-0-to-90-days,inv-age-91-to-180-days,inv-age-181-to-270-days,inv-age-271-to-365-days,inv-age-365-plus-days,units-shipped-t7,units-shipped-t30,units-shipped-t60,units-shipped-t90,sell-through,days-of-supply,estimated-excess-quantity,item-volume,storage-volume,estimated-storage-cost-next-month,estimated-ais-181-210-days,estimated-ais-211-240-days,estimated-ais-241-270-days,estimated-ais-271-300-days,estimated-ais-301-330-days,estimated-ais-331-365-days,estimated-ais-365-plus-days,recommended-action,low-inventory-level-fee-applied,your-price,sales-price,currency,healthy-inventory-level,storage-type,weeks-of-cover-t30
2026-08-31,TH-KNISHA-11,X0TH0011,B0TH011KX,Knife Sharpener Whetstone,New,446,0,446,0,0,0,0,86,371,743,1115,0.83,36,0,0.060,26.76,20.87,0,0,0,0,0,0,0,No action required,No,24.99,24.99,USD,557,Standard-Size,5.1
2026-08-31,TH-STAMIX-12,X0TH0012,B0TH012KX,Stainless Mixing Bowls 5pc,New,214,0,214,0,0,0,0,68,292,584,876,0.99,22,0,0.700,149.80,116.84,0,0,0,0,0,0,0,No action required,No,38.10,38.10,USD,438,Oversize,3.1
2026-08-31,TH-SILSPA-13,X0TH0013,B0TH013KX,Silicone Spatula Set,New,1499,0,1499,0,0,0,0,197,848,1696,2545,0.57,53,0,0.050,74.95,58.46,0,0,0,0,0,0,0,No action required,No,15.44,15.44,USD,1272,Standard-Size,7.6
2026-08-31,TH-MEACUP-14,X0TH0014,B0TH014KX,Measuring Cups Steel,New,1413,0,919,494,0,0,0,103,441,883,1324,0.31,96,89,0.080,113.04,88.17,0,0,0,0,0,0,0,Consider removal,No,21.33,21.33,USD,662,Standard-Size,13.7
2026-08-31,TH-SALCEL-15,X0TH0015,B0TH015KX,Salt Cellar Acacia,New,917,0,597,320,0,0,0,82,352,705,1058,0.38,78,0,0.050,45.85,35.76,0,0,0,0,0,0,0,Consider removal,No,17.50,17.50,USD,529,Standard-Size,11.1
2026-08-31,TH-PEPMIL-16,X0TH0016,B0TH016KX,Pepper Mill Walnut,New,895,0,582,313,0,0,0,53,227,455,682,0.25,118,213,0.060,53.70,41.89,0,0,0,0,0,0,0,Consider removal,No,33.98,33.98,USD,341,Standard-Size,16.9
2026-08-31,TH-FREPRE-17,X0TH0017,B0TH017KX,French Press 34oz,New,899,0,899,0,0,0,0,98,421,842,1263,0.47,64,0,0.220,197.78,154.27,0,0,0,0,0,0,0,No action required,No,30.89,30.89,USD,631,Standard-Size,9.1
2026-08-31,TH-POUOVE-18,X0TH0018,B0TH018KX,Pour Over Kettle Gooseneck,New,170,0,170,0,0,0,0,53,231,462,693,0.99,22,0,0.240,40.80,31.82,0,0,0,0,0,0,0,No action required,No,44.28,44.28,USD,346,Standard-Size,3.1
2026-08-31,TH-COFCAN-19,X0TH0019,B0TH019KX,Coffee Canister Airtight,New,356,0,356,0,0,0,0,113,485,971,1456,0.99,22,0,0.100,35.60,27.77,0,0,0,0,0,0,0,No action required,No,22.99,22.99,USD,728,Standard-Size,3.1
2026-08-31,TH-TEAINF-20,X0TH0020,B0TH020KX,Tea Infuser Mug,New,943,0,613,330,0,0,0,84,362,725,1087,0.38,78,0,0.080,75.44,58.84,0,0,0,0,0,0,0,Consider removal,No,18.53,18.53,USD,543,Standard-Size,11.1
2026-08-31,TH-APRWAX-21,X0TH0021,B0TH021KX,Apron Waxed Canvas,New,178,0,178,0,0,0,0,42,183,367,551,0.99,29,0,0.070,12.46,9.72,0,0,0,0,0,0,0,No action required,No,41.19,41.19,USD,275,Standard-Size,4.1
2026-08-31,TH-OVEMIT-22,X0TH0022,B0TH022KX,Oven Mitts Aramid Pair,New,1486,0,966,520,0,0,0,108,464,928,1393,0.31,96,93,0.060,89.16,69.54,0,0,0,0,0,0,0,Consider removal,No,19.99,19.99,USD,696,Standard-Size,13.7
2026-08-31,TH-TRICOR-23,X0TH0023,B0TH023KX,Trivet Cork Set,New,3474,0,2259,1215,0,0,0,162,694,1389,2084,0.20,150,1390,0.040,138.96,108.39,0,0,0,0,0,0,0,Consider removal,No,12.60,12.60,USD,1042,Standard-Size,21.4
2026-08-31,TH-KITTOW-24,X0TH0024,B0TH024KX,Kitchen Towels Linen 4pk,New,625,0,625,0,0,0,0,82,353,707,1061,0.57,53,0,0.050,31.25,24.38,0,0,0,0,0,0,0,No action required,No,24.99,24.99,USD,530,Standard-Size,7.6
